,Acquisition_Date,file_name,month,year,season,day_of_year,season_wfd
0,2019-01-15 10:12:15,S3A_CHL_IT_20190115T101215_L1.tif,1,2019,winter,15,Winter
1,2019-01-21 09:16:09,S3A_CHL_IT_20190121T091609_L1.tif,1,2019,winter,21,Winter
245,2019-01-22 09:51:27,S3B_CHL_IT_20190122T095127_L1.tif,1,2019,winter,22,Winter
2,2019-01-24 09:38:36,S3A_CHL_IT_20190124T093836_L1.tif,1,2019,winter,24,Winter
246,2019-01-25 10:13:53,S3B_CHL_IT_20190125T101353_L1.tif,1,2019,winter,25,Winter
3,2019-01-28 09:34:52,S3A_CHL_IT_20190128T093452_L1.tif,1,2019,winter,28,Winter
247,2019-01-29 10:10:09,S3B_CHL_IT_20190129T101009_L1.tif,1,2019,winter,29,Winter
4,2019-02-04 09:53:34,S3A_CHL_IT_20190204T095334_L1.tif,2,2019,winter,35,Winter
5,2019-02-05 09:27:23,S3A_CHL_IT_20190205T092723_L1.tif,2,2019,winter,36,Winter
248,2019-02-06 10:02:40,S3B_CHL_IT_20190206T100240_L1.tif,2,2019,winter,37,Winter
6,2019-02-08 09:49:50,S3A_CHL_IT_20190208T094950_L1.tif,2,2019,winter,39,Winter
7,2019-02-09 09:23:39,S3A_CHL_IT_20190209T092339_L1.tif,2,2019,winter,40,Winter
8,2019-02-11 10:12:16,S3A_CHL_IT_20190211T101216_L1.tif,2,2019,winter,42,Winter
9,2019-02-12 09:46:05,S3A_CHL_IT_20190212T094605_L1.tif,2,2019,winter,43,Winter
249,2019-02-14 09:55:11,S3B_CHL_IT_20190214T095511_L1.tif,2,2019,winter,45,Winter
250,2019-02-15 09:29:00,S3B_CHL_IT_20190215T092900_L1.tif,2,2019,winter,46,Winter
10,2019-02-15 10:08:32,S3A_CHL_IT_20190215T100832_L1.tif,2,2019,winter,46,Winter
11,2019-02-16 09:42:21,S3A_CHL_IT_20190216T094221_L1.tif,2,2019,winter,47,Winter
12,2019-02-17 09:16:10,S3A_CHL_IT_20190217T091610_L1.tif,2,2019,winter,48,Winter
251,2019-02-18 09:51:27,S3B_CHL_IT_20190218T095127_L1.tif,2,2019,winter,49,Winter
252,2019-02-21 10:13:55,S3B_CHL_IT_20190221T101355_L1.tif,2,2019,winter,52,Winter
253,2019-02-22 09:47:44,S3B_CHL_IT_20190222T094744_L1.tif,2,2019,winter,53,Winter
254,2019-02-25 10:10:11,S3B_CHL_IT_20190225T101011_L1.tif,2,2019,winter,56,Winter
255,2019-02-27 09:17:49,S3B_CHL_IT_20190227T091749_L1.tif,2,2019,winter,58,Winter
13,2019-02-27 09:57:18,S3A_CHL_IT_20190227T095718_L1.tif,2,2019,winter,58,Winter
14,2019-02-28 09:31:07,S3A_CHL_IT_20190228T093107_L1.tif,2,2019,winter,59,Winter
256,2019-03-01 10:06:27,S3B_CHL_IT_20190301T100627_L1.tif,3,2019,spring,60,Winter
257,2019-03-05 10:02:44,S3B_CHL_IT_20190305T100244_L1.tif,3,2019,spring,64,Winter
15,2019-03-15 09:42:18,S3A_CHL_IT_20190315T094218_L1.tif,3,2019,spring,74,Winter
258,2019-03-18 09:25:21,S3B_CHL_IT_20190318T092521_L1.tif,3,2019,spring,77,Winter
259,2019-03-20 10:13:59,S3B_CHL_IT_20190320T101359_L1.tif,3,2019,spring,79,Winter
260,2019-03-21 09:47:48,S3B_CHL_IT_20190321T094748_L1.tif,3,2019,spring,80,None
261,2019-03-22 09:21:37,S3B_CHL_IT_20190322T092137_L1.tif,3,2019,spring,81,None
16,2019-03-22 10:01:02,S3A_CHL_IT_20190322T100102_L1.tif,3,2019,spring,81,None
17,2019-03-23 09:34:52,S3A_CHL_IT_20190323T093452_L1.tif,3,2019,spring,82,None
262,2019-03-24 10:10:15,S3B_CHL_IT_20190324T101015_L1.tif,3,2019,spring,83,None
263,2019-03-25 09:44:04,S3B_CHL_IT_20190325T094404_L1.tif,3,2019,spring,84,None
18,2019-03-26 09:57:19,S3A_CHL_IT_20190326T095719_L1.tif,3,2019,spring,85,None
19,2019-03-27 09:31:08,S3A_CHL_IT_20190327T093108_L1.tif,3,2019,spring,86,None
264,2019-03-28 10:06:31,S3B_CHL_IT_20190328T100631_L1.tif,3,2019,spring,87,None
20,2019-03-30 09:53:35,S3A_CHL_IT_20190330T095335_L1.tif,3,2019,spring,89,None
265,2019-04-01 10:02:46,S3B_CHL_IT_20190401T100246_L1.tif,4,2019,spring,91,Spring
